flag_id,trip_id,driver_id,timestamp,elapsed_seconds,flag_type,severity,motion_score,audio_score,combined_score,explanation,context,date,trip_start
FLAG001,TRIP001,DRV107,2024-02-06 07:02:30,1050,moderate_brake,low,0.48,0.18,0.29,Moderate Brake detected (2.4 m/s²). Motion-only signal.,Motion: moderate_brake | Audio: normal,2024-02-06,06:45:00
FLAG029,TRIP007,DRV095,2024-02-06 11:10:10,1330,moderate_brake,low,0.43,0.68,0.54,Combined signal: Moderate Brake (2.2 m/s²) + elevated cabin audio (68 dB). Traffic conditions.,Motion: moderate_brake | Audio: argument,2024-02-06,10:48:00
FLAG030,TRIP007,DRV095,2024-02-06 10:51:07,187,moderate_brake,low,0.48,0.18,0.29,Moderate Brake detected (2.4 m/s²). Motion-only signal.,Motion: moderate_brake | Audio: normal,2024-02-06,10:48:00
FLAG031,TRIP007,DRV095,2024-02-06 10:50:06,126,moderate_brake,low,0.43,0.18,0.26,Moderate Brake detected (2.1 m/s²). Motion-only signal.,Motion: moderate_brake | Audio: normal,2024-02-06,10:48:00
FLAG032,TRIP008,DRV050,2024-02-06 17:57:30,1650,moderate_brake,low,0.37,0.18,0.22,Moderate Brake detected (1.9 m/s²). Motion-only signal.,Motion: moderate_brake | Audio: normal,2024-02-06,17:30:00
FLAG033,TRIP008,DRV050,2024-02-06 17:37:51,471,moderate_brake,low,0.36,0.53,0.44,Combined signal: Moderate Brake (1.8 m/s²) + elevated cabin audio (53 dB). Traffic conditions.,Motion: moderate_brake | Audio: argument,2024-02-06,17:30:00
FLAG034,TRIP008,DRV050,2024-02-06 17:38:24,504,moderate_brake,low,0.36,0.68,0.5,Combined signal: Moderate Brake (1.8 m/s²) + elevated cabin audio (68 dB). Traffic conditions.,Motion: moderate_brake | Audio: argument,2024-02-06,17:30:00
FLAG035,TRIP008,DRV050,2024-02-06 17:43:03,783,harsh_braking,low,0.44,0.18,0.26,Harsh Braking detected (3.1 m/s²). Motion-only signal.,Motion: harsh_braking | Audio: normal,2024-02-06,17:30:00
FLAG036,TRIP008,DRV050,2024-02-06 17:50:27,1227,moderate_brake,low,0.48,0.18,0.29,Moderate Brake detected (2.4 m/s²). Motion-only signal.,Motion: moderate_brake | Audio: normal,2024-02-06,17:30:00
FLAG037,TRIP008,DRV050,2024-02-06 17:45:44,944,moderate_brake,low,0.43,0.18,0.26,Moderate Brake detected (2.1 m/s²). Motion-only signal.,Motion: moderate_brake | Audio: normal,2024-02-06,17:30:00
FLAG038,TRIP009,DRV070,2024-02-06 18:39:36,1476,moderate_brake,low,0.37,0.66,0.5,Combined signal: Moderate Brake (1.8 m/s²) + elevated cabin audio (66 dB). Traffic conditions.,Motion: moderate_brake | Audio: argument,2024-02-06,18:15:00
FLAG039,TRIP009,DRV070,2024-02-06 18:36:53,1313,moderate_brake,low,0.43,0.18,0.26,Moderate Brake detected (2.1 m/s²). Motion-only signal.,Motion: moderate_brake | Audio: normal,2024-02-06,18:15:00
FLAG040,TRIP009,DRV070,2024-02-06 18:40:33,1533,moderate_brake,medium,0.47,0.66,0.56,Combined signal: Moderate Brake (2.3 m/s²) + elevated cabin audio (66 dB). Traffic conditions.,Motion: moderate_brake | Audio: argument,2024-02-06,18:15:00
FLAG041,TRIP009,DRV070,2024-02-06 18:26:58,718,moderate_brake,low,0.36,0.18,0.22,Moderate Brake detected (1.8 m/s²). Motion-only signal.,Motion: moderate_brake | Audio: normal,2024-02-06,18:15:00
FLAG042,TRIP010,DRV145,2024-02-06 19:22:00,1020,conflict_moment,high,0.68,0.96,0.81,Combined signal: Harsh Braking (4.8 m/s²) + elevated cabin audio (96 dB). Potential passenger conflict.,Motion: harsh_braking | Audio: argument,2024-02-06,19:05:00
FLAG043,TRIP010,DRV145,2024-02-06 19:22:30,1050,conflict_moment,high,0.95,0.96,0.95,Combined signal: Harsh Braking (6.6 m/s²) + elevated cabin audio (96 dB). Potential passenger conflict.,Motion: harsh_braking | Audio: argument,2024-02-06,19:05:00
FLAG044,TRIP010,DRV145,2024-02-06 19:23:00,1080,conflict_moment,high,0.95,0.96,0.95,Combined signal: Harsh Braking (8.7 m/s²) + elevated cabin audio (96 dB). Potential passenger conflict.,Motion: harsh_braking | Audio: argument,2024-02-06,19:05:00
FLAG045,TRIP010,DRV145,2024-02-06 19:23:30,1110,conflict_moment,high,0.82,0.96,0.88,Combined signal: Harsh Braking (5.8 m/s²) + elevated cabin audio (96 dB). Potential passenger conflict.,Motion: harsh_braking | Audio: argument,2024-02-06,19:05:00
FLAG046,TRIP010,DRV145,2024-02-06 19:24:00,1140,harsh_braking,medium,0.5,0.96,0.71,Combined signal: Harsh Braking (3.5 m/s²) + elevated cabin audio (96 dB). Traffic conditions.,Motion: harsh_braking | Audio: argument,2024-02-06,19:05:00
FLAG047,TRIP010,DRV145,2024-02-06 19:31:44,1604,moderate_brake,low,0.45,0.18,0.27,Moderate Brake detected (2.3 m/s²). Motion-only signal.,Motion: moderate_brake | Audio: normal,2024-02-06,19:05:00
FLAG048,TRIP010,DRV145,2024-02-06 19:15:19,619,harsh_braking,medium,0.39,0.74,0.55,Combined signal: Harsh Braking (2.8 m/s²) + elevated cabin audio (74 dB). Traffic conditions.,Motion: harsh_braking | Audio: loud,2024-02-06,19:05:00
FLAG049,TRIP010,DRV145,2024-02-06 19:18:44,824,moderate_brake,medium,0.48,0.88,0.66,Combined signal: Moderate Brake (2.4 m/s²) + elevated cabin audio (88 dB). Traffic conditions.,Motion: moderate_brake | Audio: argument,2024-02-06,19:05:00
FLAG050,TRIP010,DRV145,2024-02-06 19:05:59,59,harsh_braking,medium,0.45,0.68,0.55,Combined signal: Harsh Braking (3.2 m/s²) + elevated cabin audio (68 dB). Traffic conditions.,Motion: harsh_braking | Audio: argument,2024-02-06,19:05:00
FLAG051,TRIP010,DRV145,2024-02-06 19:12:40,460,harsh_braking,low,0.5,0.18,0.3,Harsh Braking detected (3.5 m/s²). Motion-only signal.,Motion: harsh_braking | Audio: normal,2024-02-06,19:05:00
FLAG052,TRIP010,DRV145,2024-02-06 19:08:21,201,harsh_braking,medium,0.38,0.86,0.6,Combined signal: Harsh Braking (2.7 m/s²) + elevated cabin audio (86 dB). Traffic conditions.,Motion: harsh_braking | Audio: argument,2024-02-06,19:05:00
FLAG053,TRIP010,DRV145,2024-02-06 19:20:59,959,harsh_braking,medium,0.42,0.93,0.65,Combined signal: Harsh Braking (2.9 m/s²) + elevated cabin audio (93 dB). Traffic conditions.,Motion: harsh_braking | Audio: argument,2024-02-06,19:05:00
FLAG054,TRIP010,DRV145,2024-02-06 19:10:16,316,moderate_brake,medium,0.41,0.86,0.61,Combined signal: Moderate Brake (2.1 m/s²) + elevated cabin audio (86 dB). Traffic conditions.,Motion: moderate_brake | Audio: argument,2024-02-06,19:05:00
FLAG055,TRIP011,DRV112,2024-02-06 08:28:25,1705,moderate_brake,medium,0.44,0.8,0.6,Combined signal: Moderate Brake (2.2 m/s²) + elevated cabin audio (83 dB). Traffic conditions.,Motion: moderate_brake | Audio: loud,2024-02-06,08:00:00
FLAG056,TRIP011,DRV112,2024-02-06 08:29:24,1764,moderate_brake,medium,0.45,0.8,0.61,Combined signal: Moderate Brake (2.3 m/s²) + elevated cabin audio (83 dB). Traffic conditions.,Motion: moderate_brake | Audio: loud,2024-02-06,08:00:00
FLAG057,TRIP011,DRV112,2024-02-06 08:13:00,780,moderate_brake,low,0.37,0.18,0.22,Moderate Brake detected (1.8 m/s²). Motion-only signal.,Motion: moderate_brake | Audio: normal,2024-02-06,08:00:00
FLAG058,TRIP012,DRV042,2024-02-06 09:08:06,1086,harsh_braking,medium,0.44,0.96,0.67,Combined signal: Harsh Braking (3.0 m/s²) + elevated cabin audio (97 dB). Traffic conditions.,Motion: harsh_braking | Audio: argument,2024-02-06,08:50:00
FLAG059,TRIP012,DRV042,2024-02-06 09:07:27,1047,moderate_brake,medium,0.37,0.96,0.64,Combined signal: Moderate Brake (1.8 m/s²) + elevated cabin audio (97 dB). Traffic conditions.,Motion: moderate_brake | Audio: argument,2024-02-06,08:50:00
FLAG060,TRIP012,DRV042,2024-02-06 09:01:16,676,moderate_brake,medium,0.47,0.78,0.61,Combined signal: Moderate Brake (2.4 m/s²) + elevated cabin audio (78 dB). Traffic conditions.,Motion: moderate_brake | Audio: loud,2024-02-06,08:50:00
FLAG061,TRIP012,DRV042,2024-02-06 09:01:09,669,moderate_brake,medium,0.47,0.78,0.61,Combined signal: Moderate Brake (2.3 m/s²) + elevated cabin audio (78 dB). Traffic conditions.,Motion: moderate_brake | Audio: loud,2024-02-06,08:50:00
FLAG062,TRIP012,DRV042,2024-02-06 09:11:08,1268,harsh_braking,low,0.42,0.18,0.25,Harsh Braking detected (3.0 m/s²). Motion-only signal.,Motion: harsh_braking | Audio: normal,2024-02-06,08:50:00
FLAG063,TRIP012,DRV042,2024-02-06 08:57:18,438,moderate_brake,low,0.39,0.18,0.23,Moderate Brake detected (1.9 m/s²). Motion-only signal.,Motion: moderate_brake | Audio: normal,2024-02-06,08:50:00
FLAG064,TRIP013,DRV096,2024-02-06 10:06:06,1266,harsh_braking,low,0.4,0.18,0.24,Harsh Braking detected (2.8 m/s²). Motion-only signal.,Motion: harsh_braking | Audio: normal,2024-02-06,09:45:00
FLAG065,TRIP013,DRV096,2024-02-06 10:08:52,1432,moderate_brake,low,0.45,0.18,0.27,Moderate Brake detected (2.2 m/s²). Motion-only signal.,Motion: moderate_brake | Audio: normal,2024-02-06,09:45:00
FLAG066,TRIP013,DRV096,2024-02-06 10:10:13,1513,harsh_braking,low,0.41,0.18,0.25,Harsh Braking detected (2.9 m/s²). Motion-only signal.,Motion: harsh_braking | Audio: normal,2024-02-06,09:45:00
FLAG067,TRIP013,DRV096,2024-02-06 09:55:34,634,moderate_brake,low,0.43,0.18,0.26,Moderate Brake detected (2.1 m/s²). Motion-only signal.,Motion: moderate_brake | Audio: normal,2024-02-06,09:45:00
FLAG068,TRIP014,DRV032,2024-02-06 06:32:34,154,moderate_brake,low,0.44,0.18,0.26,Moderate Brake detected (2.2 m/s²). Motion-only signal.,Motion: moderate_brake | Audio: normal,2024-02-06,06:30:00
FLAG069,TRIP014,DRV032,2024-02-06 06:38:04,484,harsh_braking,low,0.47,0.18,0.28,Harsh Braking detected (3.3 m/s²). Motion-only signal.,Motion: harsh_braking | Audio: normal,2024-02-06,06:30:00
FLAG070,TRIP014,DRV032,2024-02-06 06:56:42,1602,harsh_braking,low,0.46,0.18,0.28,Harsh Braking detected (3.2 m/s²). Motion-only signal.,Motion: harsh_braking | Audio: normal,2024-02-06,06:30:00
FLAG071,TRIP014,DRV032,2024-02-06 06:50:35,1235,harsh_braking,low,0.41,0.18,0.25,Harsh Braking detected (2.9 m/s²). Motion-only signal.,Motion: harsh_braking | Audio: normal,2024-02-06,06:30:00
FLAG072,TRIP014,DRV032,2024-02-06 06:44:26,866,harsh_braking,low,0.43,0.18,0.26,Harsh Braking detected (3.0 m/s²). Motion-only signal.,Motion: harsh_braking | Audio: normal,2024-02-06,06:30:00
FLAG073,TRIP014,DRV032,2024-02-06 06:34:43,283,harsh_braking,low,0.37,0.18,0.22,Harsh Braking detected (2.6 m/s²). Motion-only signal.,Motion: harsh_braking | Audio: normal,2024-02-06,06:30:00
FLAG074,TRIP015,DRV111,2024-02-06 07:18:09,489,moderate_brake,low,0.37,0.71,0.52,Combined signal: Moderate Brake (1.9 m/s²) + elevated cabin audio (71 dB). Traffic conditions.,Motion: moderate_brake | Audio: very_loud,2024-02-06,07:10:00
FLAG075,TRIP016,DRV067,2024-02-06 14:17:54,1074,harsh_braking,low,0.38,0.18,0.23,Harsh Braking detected (2.7 m/s²). Motion-only signal.,Motion: harsh_braking | Audio: normal,2024-02-06,14:00:00
FLAG076,TRIP016,DRV067,2024-02-06 14:11:19,679,harsh_braking,medium,0.45,0.85,0.63,Combined signal: Harsh Braking (3.2 m/s²) + elevated cabin audio (85 dB). Traffic conditions.,Motion: harsh_braking | Audio: argument,2024-02-06,14:00:00
FLAG077,TRIP016,DRV067,2024-02-06 14:01:07,67,moderate_brake,medium,0.43,0.8,0.6,Combined signal: Moderate Brake (2.2 m/s²) + elevated cabin audio (82 dB). Traffic conditions.,Motion: moderate_brake | Audio: loud,2024-02-06,14:00:00
FLAG078,TRIP016,DRV067,2024-02-06 14:08:39,519,moderate_brake,low,0.49,0.18,0.29,Moderate Brake detected (2.4 m/s²). Motion-only signal.,Motion: moderate_brake | Audio: normal,2024-02-06,14:00:00
FLAG079,TRIP017,DRV144,2024-02-06 15:07:05,905,moderate_brake,medium,0.47,0.83,0.63,Combined signal: Moderate Brake (2.4 m/s²) + elevated cabin audio (83 dB). Traffic conditions.,Motion: moderate_brake | Audio: argument,2024-02-06,14:52:00
FLAG080,TRIP017,DRV144,2024-02-06 14:54:27,147,moderate_brake,low,0.4,0.18,0.24,Moderate Brake detected (2.0 m/s²). Motion-only signal.,Motion: moderate_brake | Audio: normal,2024-02-06,14:52:00
FLAG081,TRIP017,DRV144,2024-02-06 14:59:34,454,harsh_braking,low,0.44,0.18,0.26,Harsh Braking detected (3.1 m/s²). Motion-only signal.,Motion: harsh_braking | Audio: normal,2024-02-06,14:52:00
FLAG082,TRIP017,DRV144,2024-02-06 15:09:19,1039,harsh_braking,low,0.38,0.18,0.23,Harsh Braking detected (2.6 m/s²). Motion-only signal.,Motion: harsh_braking | Audio: normal,2024-02-06,14:52:00
FLAG083,TRIP018,DRV161,2024-02-06 18:14:26,866,harsh_braking,low,0.5,0.18,0.3,Harsh Braking detected (3.5 m/s²). Motion-only signal.,Motion: harsh_braking | Audio: normal,2024-02-06,18:00:00
FLAG084,TRIP018,DRV161,2024-02-06 18:07:42,462,moderate_brake,low,0.49,0.18,0.29,Moderate Brake detected (2.4 m/s²). Motion-only signal.,Motion: moderate_brake | Audio: normal,2024-02-06,18:00:00
FLAG085,TRIP018,DRV161,2024-02-06 18:14:44,884,harsh_braking,low,0.36,0.18,0.22,Harsh Braking detected (2.5 m/s²). Motion-only signal.,Motion: harsh_braking | Audio: normal,2024-02-06,18:00:00
FLAG086,TRIP018,DRV161,2024-02-06 18:07:43,463,harsh_braking,low,0.42,0.18,0.25,Harsh Braking detected (2.9 m/s²). Motion-only signal.,Motion: harsh_braking | Audio: normal,2024-02-06,18:00:00
FLAG087,TRIP019,DRV045,2024-02-06 19:11:58,418,moderate_brake,low,0.42,0.18,0.25,Moderate Brake detected (2.1 m/s²). Motion-only signal.,Motion: moderate_brake | Audio: normal,2024-02-06,19:05:00
FLAG088,TRIP019,DRV045,2024-02-06 19:32:41,1661,moderate_brake,low,0.37,0.18,0.22,Moderate Brake detected (1.8 m/s²). Motion-only signal.,Motion: moderate_brake | Audio: normal,2024-02-06,19:05:00
FLAG089,TRIP019,DRV045,2024-02-06 19:09:19,259,harsh_braking,low,0.36,0.18,0.22,Harsh Braking detected (2.5 m/s²). Motion-only signal.,Motion: harsh_braking | Audio: normal,2024-02-06,19:05:00
FLAG090,TRIP020,DRV157,2024-02-06 07:20:47,1247,harsh_braking,low,0.47,0.18,0.28,Harsh Braking detected (3.3 m/s²). Motion-only signal.,Motion: harsh_braking | Audio: normal,2024-02-06,07:00:00
FLAG091,TRIP020,DRV157,2024-02-06 07:22:35,1355,moderate_brake,low,0.37,0.18,0.22,Moderate Brake detected (1.8 m/s²). Motion-only signal.,Motion: moderate_brake | Audio: normal,2024-02-06,07:00:00
FLAG092,TRIP020,DRV157,2024-02-06 07:04:49,289,harsh_braking,low,0.41,0.18,0.25,Harsh Braking detected (2.9 m/s²). Motion-only signal.,Motion: harsh_braking | Audio: normal,2024-02-06,07:00:00
FLAG093,TRIP020,DRV157,2024-02-06 07:12:26,746,moderate_brake,low,0.44,0.18,0.26,Moderate Brake detected (2.2 m/s²). Motion-only signal.,Motion: moderate_brake | Audio: normal,2024-02-06,07:00:00
FLAG094,TRIP021,DRV142,2024-02-06 15:49:52,1372,moderate_brake,low,0.42,0.18,0.25,Moderate Brake detected (2.1 m/s²). Motion-only signal.,Motion: moderate_brake | Audio: normal,2024-02-06,15:27:00
FLAG095,TRIP021,DRV142,2024-02-06 15:42:46,946,moderate_brake,low,0.47,0.18,0.28,Moderate Brake detected (2.3 m/s²). Motion-only signal.,Motion: moderate_brake | Audio: normal,2024-02-06,15:27:00
FLAG096,TRIP021,DRV142,2024-02-06 15:52:25,1525,moderate_brake,medium,0.36,0.87,0.59,Combined signal: Moderate Brake (1.8 m/s²) + elevated cabin audio (87 dB). Traffic conditions.,Motion: moderate_brake | Audio: very_loud,2024-02-06,15:27:00
FLAG097,TRIP021,DRV142,2024-02-06 15:52:43,1543,harsh_braking,medium,0.38,0.87,0.6,Combined signal: Harsh Braking (2.6 m/s²) + elevated cabin audio (87 dB). Traffic conditions.,Motion: harsh_braking | Audio: very_loud,2024-02-06,15:27:00
FLAG098,TRIP021,DRV142,2024-02-06 15:44:22,1042,moderate_brake,medium,0.46,0.8,0.61,Combined signal: Moderate Brake (2.3 m/s²) + elevated cabin audio (83 dB). Traffic conditions.,Motion: moderate_brake | Audio: loud,2024-02-06,15:27:00
FLAG099,TRIP021,DRV142,2024-02-06 15:47:23,1223,moderate_brake,medium,0.38,0.8,0.57,Combined signal: Moderate Brake (1.9 m/s²) + elevated cabin audio (83 dB). Traffic conditions.,Motion: moderate_brake | Audio: loud,2024-02-06,15:27:00
FLAG100,TRIP021,DRV142,2024-02-06 15:43:51,1011,moderate_brake,medium,0.37,0.8,0.56,Combined signal: Moderate Brake (1.8 m/s²) + elevated cabin audio (83 dB). Traffic conditions.,Motion: moderate_brake | Audio: loud,2024-02-06,15:27:00
FLAG101,TRIP022,DRV048,2024-02-06 16:59:39,1539,harsh_braking,medium,0.4,0.96,0.65,Combined signal: Harsh Braking (2.8 m/s²) + elevated cabin audio (96 dB). Traffic conditions.,Motion: harsh_braking | Audio: argument,2024-02-06,16:34:00
FLAG102,TRIP022,DRV048,2024-02-06 16:59:46,1546,harsh_braking,medium,0.43,0.96,0.67,Combined signal: Harsh Braking (3.0 m/s²) + elevated cabin audio (96 dB). Traffic conditions.,Motion: harsh_braking | Audio: argument,2024-02-06,16:34:00
FLAG103,TRIP022,DRV048,2024-02-06 16:55:20,1280,moderate_brake,medium,0.48,0.96,0.7,Combined signal: Moderate Brake (2.4 m/s²) + elevated cabin audio (96 dB). Traffic conditions.,Motion: moderate_brake | Audio: very_loud,2024-02-06,16:34:00
FLAG104,TRIP022,DRV048,2024-02-06 17:00:06,1566,moderate_brake,medium,0.42,0.96,0.66,Combined signal: Moderate Brake (2.1 m/s²) + elevated cabin audio (96 dB). Traffic conditions.,Motion: moderate_brake | Audio: argument,2024-02-06,16:34:00
FLAG105,TRIP022,DRV048,2024-02-06 16:55:25,1285,moderate_brake,medium,0.42,0.96,0.66,Combined signal: Moderate Brake (2.1 m/s²) + elevated cabin audio (96 dB). Traffic conditions.,Motion: moderate_brake | Audio: very_loud,2024-02-06,16:34:00
FLAG106,TRIP022,DRV048,2024-02-06 17:02:52,1732,harsh_braking,low,0.36,0.18,0.22,Harsh Braking detected (2.5 m/s²). Motion-only signal.,Motion: harsh_braking | Audio: normal,2024-02-06,16:34:00
FLAG107,TRIP022,DRV048,2024-02-06 16:57:23,1403,harsh_braking,low,0.39,0.18,0.23,Harsh Braking detected (2.7 m/s²). Motion-only signal.,Motion: harsh_braking | Audio: normal,2024-02-06,16:34:00
FLAG108,TRIP023,DRV091,2024-02-06 17:59:22,1102,harsh_braking,medium,0.4,0.8,0.58,Combined signal: Harsh Braking (2.8 m/s²) + elevated cabin audio (80 dB). Traffic conditions.,Motion: harsh_braking | Audio: very_loud,2024-02-06,17:41:00
FLAG109,TRIP023,DRV091,2024-02-06 17:44:30,210,harsh_braking,low,0.41,0.18,0.25,Harsh Braking detected (2.9 m/s²). Motion-only signal.,Motion: harsh_braking | Audio: normal,2024-02-06,17:41:00
FLAG110,TRIP023,DRV091,2024-02-06 17:42:18,78,moderate_brake,low,0.38,0.18,0.23,Moderate Brake detected (1.9 m/s²). Motion-only signal.,Motion: moderate_brake | Audio: normal,2024-02-06,17:41:00
FLAG111,TRIP024,DRV189,2024-02-06 07:15:35,1655,harsh_braking,medium,0.46,0.72,0.58,Combined signal: Harsh Braking (3.2 m/s²) + elevated cabin audio (72 dB). Traffic conditions.,Motion: harsh_braking | Audio: loud,2024-02-06,06:48:00
FLAG112,TRIP024,DRV189,2024-02-06 07:16:21,1701,harsh_braking,medium,0.41,0.72,0.55,Combined signal: Harsh Braking (2.9 m/s²) + elevated cabin audio (72 dB). Traffic conditions.,Motion: harsh_braking | Audio: loud,2024-02-06,06:48:00
